# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887191e-10       7.309026172908e-15       4.815171199965e-13       0.000000000000e+00       8.628903609863e-09       4.854772121439e-10      -2.515854151611e-12 
    3       1.409365943025e-10       1.238791651650e-14       6.068719691960e-13       0.000000000000e+00       5.411291720684e-09       3.469573579981e-10      -2.211507031142e-12 
    4       1.324622774946e-10       1.446512635929e-14       6.277976520576e-13       0.000000000000e+00       3.776588552529e-09       2.639785058319e-10      -1.764116067079e-12 
    5       1.257504767747e-10       1.337853519881e-14       5.879551646998e-13       0.000000000000e+00       2.821984230335e-09       2.093815846378e-10      -1.309529286449e-12 
    6       1.208053913445e-10       1.032310747923e-14       5.173990841433e-13       0.000000000000e+00       2.205212283153e-09       1.709429020608e-10      -8.948468925434e-13 
    7       1.173297571366e-10       6.841600365872e-15       4.365335862039e-13       0.000000000000e+00       1.778233642777e-09       1.425663892124e-10      -5.443860557510e-13 
    8       1.150037075897e-10       4.042374146249e-15       3.576623511391e-13       0.000000000000e+00       1.468351551130e-09       1.208855296480e-10      -2.689334595818e-13 
    9       1.135829011396e-10       2.336357197400e-15       2.880590507293e-13       0.000000000000e+00       1.235838581766e-09       1.038809745613e-10      -7.009986714675e-14 
   10       1.128526892628e-10       1.571653533688e-15       2.317799681291e-13       0.000000000000e+00       1.056623422304e-09       9.029297643025e-11       5.745597591295e-14 
   11       1.126728148385e-10       1.345905907610e-15       1.905574142011e-13       0.000000000000e+00       8.886898865211e-10       7.950622504249e-11       1.233291888786e-13 
   12       1.129346482484e-10       1.288312421117e-15       1.640636561762e-13       0.000000000000e+00       7.765278493438e-10       7.028426773083e-11       1.421600854728e-13 
   13       1.135181530576e-10       1.200674797098e-15       1.505300363071e-13       0.000000000000e+00       6.844563326069e-10       6.274647656813e-11       1.277329344121e-13 
   14       1.143248539668e-10       1.054790798629e-15       1.474046706738e-13       0.000000000000e+00       6.078507021415e-10       5.620932594459e-11       9.279532797211e-14 
   15       1.153611553964e-10       9.105397340049e-16       1.516730193050e-13       0.000000000000e+00       5.433693949554e-10       5.074770478380e-11       4.959311367331e-14 
   16       1.165881732768e-10       8.293959318797e-16       1.602914710052e-13       0.000000000000e+00       4.885455304964e-10       4.611880776749e-11       7.232457041182e-15 
   17       1.179228770001e-10       8.287731533315e-16       1.707806936822e-13       0.000000000000e+00       4.415155573956e-10       4.212235238613e-11      -2.792920720113e-14 
   18       1.193693327835e-10       8.811664361813e-16       1.812740701646e-13       0.000000000000e+00       4.006946006733e-10       3.857273443032e-11      -5.233421673884e-14 
   19       1.209354733042e-10       9.538926646952e-16       1.907919251822e-13       0.000000000000e+00       3.654375302935e-10       3.544037490848e-11      -6.510245742162e-14 
   20       1.225654212580e-10       1.013472815651e-15       1.985909989983e-13       0.000000000000e+00       3.343837602760e-10       3.267209093421e-11      -6.706958872395e-14 
   21       1.242710991097e-10       1.062834165238e-15       2.047508483933e-13       0.000000000000e+00       3.070458376716e-10       3.022365761251e-11      -6.038518099403e-14 
   22       1.260522065631e-10       1.120089788927e-15       2.097242388165e-13       0.000000000000e+00       2.827706820791e-10       2.801369697153e-11      -4.840846306382e-14 
   23       1.278979532748e-10       1.204635700201e-15       2.139590306984e-13       0.000000000000e+00       2.612248133204e-10       2.601113352474e-11      -3.407762182391e-14 
