# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760239e-10       7.309265059073e-15       4.815171148057e-13       2.388861321574e-19       8.628903609863e-09       4.854772121439e-10      -2.515854151611e-12 
    3       1.409375667270e-10       1.238839452129e-14       6.068719461073e-13       4.780044697677e-19       5.411291720684e-09       3.469573579981e-10      -2.211507031142e-12 
    4       1.324638934015e-10       1.446592354282e-14       6.277975858838e-13       7.971819515267e-19       3.776588552529e-09       2.639785058319e-10      -1.764116067079e-12 
    5       1.257528917636e-10       1.337973190993e-14       5.879550144257e-13       1.196705742370e-18       2.821984230335e-09       2.093815846378e-10      -1.309529286449e-12 
    6       1.208087576868e-10       1.032478441008e-14       5.173987897670e-13       1.676916231855e-18       2.205212283153e-09       1.709429020608e-10      -8.948468925434e-13 
    7       1.173342232869e-10       6.843838595424e-15       4.365330660548e-13       2.238195751593e-18       1.778233642777e-09       1.425663892124e-10      -5.443860557510e-13 
    8       1.150094177846e-10       4.045255171706e-15       3.576614997222e-13       2.880956073091e-18       1.468351551130e-09       1.208855296480e-10      -2.689334595818e-13 
    9       1.135899950893e-10       2.339962952309e-15       2.880577371249e-13       3.605625180335e-18       1.235838581766e-09       1.038809745613e-10      -7.009986714675e-14 
   10       1.128613019399e-10       1.576066392365e-15       2.317780349504e-13       4.412633838628e-18       1.056623422304e-09       9.029297643025e-11       5.745597591295e-14 
   11       1.126830763639e-10       1.351208675784e-15       1.905546770929e-13       5.302402487215e-18       8.886898865211e-10       7.950622504249e-11       1.233291888786e-13 
   12       1.129466838720e-10       1.294588313194e-15       1.640599038151e-13       6.275328967767e-18       7.765278493438e-10       7.028426773083e-11       1.421600854728e-13 
   13       1.135320832279e-10       1.208007400859e-15       1.505250308448e-13       7.331777564573e-18       6.844563326069e-10       6.274647656813e-11       1.277329344121e-13 
   14       1.143407944812e-10       1.063264028588e-15       1.473981485499e-13       8.472069776698e-18       6.078507021415e-10       5.620932594459e-11       9.279532797211e-14 
   15       1.153792176218e-10       9.202377750043e-16       1.516646923447e-13       9.696477169763e-18       5.433693949554e-10       5.074770478380e-11       4.959311367331e-14 
   16       1.166084644267e-10       8.404031747824e-16       1.602810277098e-13       1.100521656823e-17       4.885455304964e-10       4.611880776749e-11       7.232457041182e-15 
   17       1.179455004562e-10       8.411741249177e-16       1.707678006179e-13       1.239844775177e-17       4.415155573956e-10       4.212235238613e-11      -2.792920720113e-14 
   18       1.193943884513e-10       8.950457245123e-16       1.812583734067e-13       1.387627248949e-17       4.006946006733e-10       3.857273443032e-11      -5.233421673884e-14 
